['Deep Learning and Its Applications in Biomedicine']	['The state of the art of deep learning models in medical science and their challenges']	['MULTIMEDIA SYSTEMS']	[]	[]	[]	[]	[]
['Deep Learning and Its Applications in Biomedicine']	['Artificial neural networks training acceleration through network science strategies']	['SOFT COMPUTING']	[]	[]	[]	[]	[]
['Deep Learning and Its Applications in Biomedicine']	['NetEPD: A Network-Based Essential Protein Discovery Platform']	['TSINGHUA SCIENCE AND TECHNOLOGY']	['25']	['4']	['542-552']	['AUG 2020']	['1']
['Deep Learning and Its Applications in Biomedicine']	['Graph-based prediction of Protein-protein interactions with attributed signed graph embedding']	['BMC BIOINFORMATICS']	['21']	['1']	[]	['323']	[]
['Deep Learning and Its Applications in Biomedicine']	['Automatic T Staging Using Weakly Supervised Deep Learning for Nasopharyngeal Carcinoma onMRImages']	['JOURNAL OF MAGNETIC RESONANCE IMAGING']	['52']	['4']	['1074-1082']	['UNSP e27202']	['1']
['Deep Learning and Its Applications in Biomedicine']	['Using Artificial Intelligence to Manage Thrombosis Research, Diagnosis, and Clinical Management']	['SEMINARS IN THROMBOSIS AND HEMOSTASIS']	['46']	['4']	['410-418']	['JUN 2020']	['2']
['Deep Learning and Its Applications in Biomedicine']	['Data-Driven Approaches for Spatio-Temporal Analysis: A Survey of the State-of-the-Arts']	['JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY']	['35']	['3']	[]	[]	[]
['Deep Learning and Its Applications in Biomedicine']	['A multistage deep neural network model for blood pressure estimation using photoplethysmogram signals']	['COMPUTERS IN BIOLOGY AND MEDICINE']	['120']	[]	[]	['MAY 2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Comparison of deep learning models for natural language processing-based classification of non-English head CT reports']	['NEURORADIOLOGY']	['62']	['10']	['1247-1256']	['OCT 2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Detection and Monitoring of Thermal Lesions Induced by Microwave Ablation Using Ultrasound Imaging and Convolutional Neural Networks']	['IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS']	['24']	['4']	['965-973']	['APR 2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Automated molecular-image cytometry and analysis in modern oncology']	['NATURE REVIEWS MATERIALS']	['5']	['6']	['409-422']	['JUN 2020']	['2']
['Deep Learning and Its Applications in Biomedicine']	["Deep learning algorithms for automated detection of Crohn's disease ulcers by video capsule endoscopy"]	['GASTROINTESTINAL ENDOSCOPY']	['91']	['3']	['606-+']	['MAR 2020']	['5']
['Deep Learning and Its Applications in Biomedicine']	['A deep learning approach for pressure ulcer prevention using wearable computing']	['HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES']	['10']	['1']	[]	['5']	['3']
['Deep Learning and Its Applications in Biomedicine']	['The Birth of Bio-data Science: Trends, Expectations, and Applications']	['GENOMICS PROTEOMICS & BIOINFORMATICS']	['18']	['1']	['5-15']	['FEB 2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Image processing techniques represent innovative tools for comparative analysis of proteins']	['COMPUTERS IN BIOLOGY AND MEDICINE']	['117']	[]	[]	['FEB 2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Autoantigenomics: Holistic characterization of autoantigen repertoires for a better understanding of autoimmune diseases']	['AUTOIMMUNITY REVIEWS']	['19']	['2']	[]	['102450']	['1']
['Deep Learning and Its Applications in Biomedicine']	['A Survey Machine Learning Algorithms for the Diagnosis of Breast Masses with Mammograms']	['CURRENT MEDICAL IMAGING']	['16']	['6']	['639-652']	['2020']	[]
['Deep Learning and Its Applications in Biomedicine']	['Artificial Intelligence (AI) and Big Data for Coronavirus (COVID-19) Pandemic: A Survey on the State-of-the-Arts']	['IEEE ACCESS']	['8']	[]	[]	[]	['3']
['Deep Learning and Its Applications in Biomedicine']	['Realizing an Efficient IoMT-Assisted Patient Diet Recommendation System Through Machine Learning Model']	['IEEE ACCESS']	['8']	[]	[]	[]	['7']
['Deep Learning and Its Applications in Biomedicine']	['Artificial Intelligence Technique for Gene Expression by Tumor RNA-Seq Data: A Novel Optimized Deep Learning Approach']	['IEEE ACCESS']	['8']	[]	[]	[]	['2']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning Techniques for Automatic Detection of Embryonic Neurodevelopmental Disorders']	['DIAGNOSTICS']	['10']	['1']	[]	['27']	['2']
['Deep Learning and Its Applications in Biomedicine']	['High-dimensionality Data Analysis of Pharmacological Systems Associated with Complex Diseases']	['PHARMACOLOGICAL REVIEWS']	['72']	['1']	['191-217']	['JAN 2020']	['1']
['Deep Learning and Its Applications in Biomedicine']	['Using machine learning to explain the heterogeneity of schizophrenia. Realizing the promise and avoiding the hype']	['SCHIZOPHRENIA RESEARCH']	['214']	['SI']	['70-75']	['DEC 2019']	['3']
['Deep Learning and Its Applications in Biomedicine']	['Bimodal learning via trilogy of skip-connection deep networks for diabetic retinopathy risk progression identification']	['INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS']	['132']	[]	[]	['DEC 2019']	['7']
['Deep Learning and Its Applications in Biomedicine']	['ADMET Evaluation in Drug Discovery. 19. Reliable Prediction of Human Cytochrome P450 Inhibition Using Artificial Intelligence Approaches']	['JOURNAL OF CHEMICAL INFORMATION AND MODELING']	['59']	['11']	['4587-4601']	['NOV 2019']	['4']
['Deep Learning and Its Applications in Biomedicine']	['Non-Linear Dynamics Analysis of Protein Sequences. Application to CYP450']	['ENTROPY']	['21']	['9']	[]	['852']	['1']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning and Machine Vision Approaches for Posture Detection of Individual Pigs']	['SENSORS']	['19']	['17']	[]	['3738']	['9']
['Deep Learning and Its Applications in Biomedicine']	['Prospect of using deep learning for predicting differentiation of myeloid progenitor cells after sepsis']	['CHINESE MEDICAL JOURNAL']	['132']	['15']	['1862-1864']	['AUG 5 2019']	['1']
['Deep Learning and Its Applications in Biomedicine']	['Integrating Artificial and Human Intelligence: A Partnership for Responsible Innovation in Biomedical Engineering and Medicine']	['OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY']	['24']	['5']	['247-263']	['MAY 1 2020']	['1']
['Deep Learning and Its Applications in Biomedicine']	['MRI-only brain radiotherapy: Assessing the dosimetric accuracy of synthetic CT images generated using a deep learning approach']	['RADIOTHERAPY AND ONCOLOGY']	['136']	[]	[]	[]	['14']
['Deep Learning and Its Applications in Biomedicine']	['A dropout-regularized classifier development approach optimized for precision medicine test discovery from omics data']	['BMC BIOINFORMATICS']	['20']	[]	[]	['JUN 13 2019']	['2']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning and Big Data in Healthcare: A Double Review for Critical Beginners']	['APPLIED SCIENCES-BASEL']	['9']	['11']	[]	['2331']	['2']
['Deep Learning and Its Applications in Biomedicine']	['Applications of deep learning for the analysis of medical data']	['ARCHIVES OF PHARMACAL RESEARCH']	['42']	['6']	['492-504']	['JUN 2019']	['7']
['Deep Learning and Its Applications in Biomedicine']	['Using stem cell-derived neurons in drug screening for neurological diseases']	['NEUROBIOLOGY OF AGING']	['78']	[]	[]	[]	['7']
['Deep Learning and Its Applications in Biomedicine']	['Preparing next-generation scientists for biomedical big data: artificial intelligence approaches']	['PERSONALIZED MEDICINE']	['16']	['3']	['247-257']	['MAY 2019']	['2']
['Deep Learning and Its Applications in Biomedicine']	['Improving the drug discovery process by using multiple classifier systems']	['EXPERT SYSTEMS WITH APPLICATIONS']	['121']	[]	[]	[]	['8']
['Deep Learning and Its Applications in Biomedicine']	['Deep learning based liver cancer detection using watershed transform and Gaussian mixture model techniques']	['COGNITIVE SYSTEMS RESEARCH']	['54']	[]	[]	[]	['12']
['Deep Learning and Its Applications in Biomedicine']	['Application of deep transfer learning for automated brain abnormality classification using MR images']	['COGNITIVE SYSTEMS RESEARCH']	['54']	[]	[]	[]	['56']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning Neural Networks Highly Predict Very Early Onset of Pluripotent Stem Cell Differentiation']	['STEM CELL REPORTS']	['12']	['4']	['845-859']	['APR 9 2019']	['4']
['Deep Learning and Its Applications in Biomedicine']	['Deep Learning in the Biomedical Applications: Recent and Future Status']	['APPLIED SCIENCES-BASEL']	['9']	['8']	[]	['1526']	['11']
['Deep Learning and Its Applications in Biomedicine']	['Neural network: A future in pathology?']	['ANNALES DE PATHOLOGIE']	['39']	['2']	['119-129']	['APR 2019']	['4']
